library	strand	total_reads
yjl089	R1	7813781
yjl089	R2	7813781
yjl090	R1	7486736
yjl090	R2	7486736
yjl091	R1	8114856
yjl091	R2	8114856
yjl092	R1	6586577
yjl092	R2	6586577
yjl093	R1	9334492
yjl093	R2	9334492
yjl094	R1	9142001
yjl094	R2	9142001
yjl095	R1	8497185
yjl095	R2	8497185
yjl096	R1	8346242
yjl096	R2	8346242
yjl217	R1	6630053
yjl217	R2	6177083
yjl218	R1	7246619
yjl218	R2	6744517
yjl219	R1	8069391
yjl219	R2	7507107
yjl220	R1	7513691
yjl220	R2	7001340
yjl221	R1	9021462
yjl221	R2	8525251
yjl222	R1	9430938
yjl222	R2	8875435
yjl223	R1	9051278
yjl223	R2	8522228
yjl224	R1	9192054
yjl224	R2	8656502
yjl225	R1	7604379
yjl225	R2	6898791
yjl226	R1	8885716
yjl226	R2	7986453
yjl227	R1	8150455
yjl227	R2	7354088
yjl228	R1	7694818
yjl228	R2	6940576
yjl229	R1	11320509
yjl229	R2	10142826
yjl230	R1	12480734
yjl230	R2	11211467
yjl231	R1	12500966
yjl231	R2	11130391
yjl232	R1	12479012
yjl232	R2	11080481
yjl233	R1	13912975
yjl233	R2	12987477
yjl234	R1	15839537
yjl234	R2	14745821
yjl235	R1	13872702
yjl235	R2	12946604
yjl236	R1	13493608
yjl236	R2	12582077
yjl237	R1	11307677
yjl237	R2	10562895
yjl238	R1	11757615
yjl238	R2	10985096
yjl239	R1	10272339
yjl239	R2	9559721
yjl240	R1	9412394
yjl240	R2	8729797
yjl241	R1	12353899
yjl241	R2	11434799
yjl242	R1	8729055
yjl242	R2	7952502
yjl243	R1	9194763
yjl243	R2	8390591
yjl244	R1	10005232
yjl244	R2	9354510
yjl245	R1	12898941
yjl245	R2	12461219
yjl246	R1	10217401
yjl246	R2	9853052
yjl247	R1	8496668
yjl247	R2	8109217
yjl248	R1	8842556
yjl248	R2	8301459
yjl249	R1	8994367
yjl249	R2	8432686
yjl250	R1	7898524
yjl250	R2	7546622
yjl251	R1	8711046
yjl251	R2	8244733
yjl252	R1	8055418
yjl252	R2	7604784
yjl253	R1	8697160
yjl253	R2	8188255
yjl254	R1	8748510
yjl254	R2	8214551
yjl255	R1	7579965
yjl255	R2	7188205
yjl256	R1	7982725
yjl256	R2	7629961
yjl257	R1	7854740
yjl257	R2	7393944
yjl258	R1	7534924
yjl258	R2	7186635
yjl259	R1	8808358
yjl259	R2	8591684
yjl260	R1	9297647
yjl260	R2	9042866
yjl261	R1	9399483
yjl261	R2	9132842
yjl262	R1	8799841
yjl262	R2	8540326
yjl263	R1	8171224
yjl263	R2	7718767
yjl264	R1	8180897
yjl264	R2	7755473
yjl265	R1	8314116
yjl265	R2	7865452
yjl266	R1	8096639
yjl266	R2	7661614
yjl267	R1	7439535
yjl267	R2	7137355
yjl268	R1	6937078
yjl268	R2	6618133
yjl269	R1	8644152
yjl269	R2	8227882
yjl270	R1	7626765
yjl270	R2	7238408
yjl271	R1	9677088
yjl271	R2	9524548
yjl272	R1	10357247
yjl272	R2	10125834
yjl273	R1	10347003
yjl273	R2	10173904
yjl274	R1	9780215
yjl274	R2	9525100
yjl275	R1	7530830
yjl275	R2	7280860
yjl276	R1	7081053
yjl276	R2	6872217
yjl277	R1	7065585
yjl277	R2	6847531
yjl278	R1	7319545
yjl278	R2	7081713
yjl279	R1	7179482
yjl279	R2	6854281
yjl280	R1	8143045
yjl280	R2	7726375
yjl281	R1	7424148
yjl281	R2	7181166
yjl282	R1	10190833
yjl282	R2	10027116
yjl283	R1	7763439
yjl283	R2	7622513
yjl284	R1	6747088
yjl284	R2	6592351
yjl285	R1	7603110
yjl285	R2	7339860
yjl286	R1	6540897
yjl286	R2	6316496
yjl287	R1	6213540
yjl287	R2	5994623
yjl288	R1	6775774
yjl288	R2	6548981
yjl289	R1	6586903
yjl289	R2	6368302
yjl290	R1	6492202
yjl290	R2	6261307
yjl291	R1	6473393
yjl291	R2	6197001
yjl292	R1	8597510
yjl292	R2	8418044
yjl293	R1	10116623
yjl293	R2	9962248
yjl294	R1	8703707
yjl294	R2	8490949
yjl295	R1	9021103
yjl295	R2	8882796
yjl296	R1	11021111
yjl296	R2	10968837
yjl297	R1	11280773
yjl297	R2	11210555
yjl298	R1	12426852
yjl298	R2	12343042
yjl299	R1	11659042
yjl299	R2	11575896
yjl300	R1	9933546
yjl300	R2	9593256
yjl301	R1	10351309
yjl301	R2	10015551
yjl302	R1	9388188
yjl302	R2	9109254
yjl303	R1	8668198
yjl303	R2	8413896
yjl304	R1	6589000
yjl304	R2	6494964
yjl305	R1	7135014
yjl305	R2	7011524
yjl306	R1	7262219
yjl306	R2	7131423
yjl307	R1	6678084
yjl307	R2	6545416
yjl308	R1	9837104
yjl308	R2	9730255
yjl309	R1	10611250
yjl309	R2	10430885
yjl310	R1	9883765
yjl310	R2	9770845
yjl311	R1	10459188
yjl311	R2	10249893
yjl312	R1	6846213
yjl312	R2	6718301
yjl313	R1	6511345
yjl313	R2	6435913
yjl314	R1	7387185
yjl314	R2	7285831
yjl315	R1	6462243
yjl315	R2	6372479
yjl349	R1	6302370
yjl349	R2	6161112
yjl350	R1	5988345
yjl350	R2	5856132
yjl351	R1	5741048
yjl351	R2	5613583
yjl352	R1	5405939
yjl352	R2	5281487
yjl353	R1	4177291
yjl353	R2	4062558
yjl354	R1	4647120
yjl354	R2	4535123
yjl355	R1	4405688
yjl355	R2	4280724
yjl356	R1	5054324
yjl356	R2	4926338
yll013	R1	4566920
yll013	R2	4202844
yll014	R1	4650610
yll014	R2	4285724
yll015	R1	3243993
yll015	R2	3000552
yll016	R1	3351257
yll016	R2	3065683
yll023	R1	2945570
yll023	R2	2813669
yll024	R1	3135863
yll024	R2	2974570
yll025	R1	3654032
yll025	R2	3503125
yll026	R1	4062958
yll026	R2	3915349
yll027	R1	2175018
yll027	R2	2012411
yll028	R1	4484305
yll028	R2	4139455
yll029	R1	4479795
yll029	R2	4174211
yll030	R1	4360039
yll030	R2	4053534
yll053	R1	1303747
yll053	R2	1226779
yll054	R1	2403750
yll054	R2	2276479
yll055	R1	2014615
yll055	R2	1868090
yll056	R1	711924
yll056	R2	667809
yll065	R1	3793630
yll065	R2	3560655
yll066	R1	3865265
yll066	R2	3634604
yll067	R1	4292815
yll067	R2	4056985
yll068	R1	3595776
yll068	R2	3392269
yll069	R1	800059
yll069	R2	729062
yll070	R1	703412
yll070	R2	644934
yll071	R1	894723
yll071	R2	820141
yll072	R1	721173
yll072	R2	655571
yll073	R1	5881847
yll073	R2	5648177
yll074	R1	5104798
yll074	R2	4912582
yll075	R1	4937875
yll075	R2	4701147
yll076	R1	7980125
yll076	R2	7709824
yll077	R1	9062155
yll077	R2	8815718
yll078	R1	6108544
yll078	R2	5966247
yll079	R1	4417598
yll079	R2	4282225
yll080	R1	5444792
yll080	R2	5290710