library	id	cell_line	control	dsb_type	guide_rna	construct	strand version
yjl89	89	WT	none	2DSBanti	sgCD	antisense	R1	1
yjl89	89	WT	none	2DSBanti	sgCD	antisense	R2	1
yjl90	90	WT	none	2DSBanti	sgCD	antisense	R1	1
yjl90	90	WT	none	2DSBanti	sgCD	antisense	R2	1
yjl91	91	WT	none	2DSBanti	sgCD	antisense	R1	1
yjl91	91	WT	none	2DSBanti	sgCD	antisense	R2	1
yjl92	92	WT	none	2DSBanti	sgCD	antisense	R1	1
yjl92	92	WT	none	2DSBanti	sgCD	antisense	R2	1
yjl93	93	WT	none	2DSBanti	sgCD	splicing	R1	1
yjl93	93	WT	none	2DSBanti	sgCD	splicing	R2	1
yjl94	94	WT	none	2DSBanti	sgCD	splicing	R1	1
yjl94	94	WT	none	2DSBanti	sgCD	splicing	R2	1
yjl95	95	WT	none	2DSBanti	sgCD	splicing	R1	1
yjl95	95	WT	none	2DSBanti	sgCD	splicing	R2	1
yjl96	96	WT	none	2DSBanti	sgCD	splicing	R1	1
yjl96	96	WT	none	2DSBanti	sgCD	splicing	R2	1
yjl217	217	WT	none	2DSB	sgAB	sense	R1	1
yjl217	217	WT	none	2DSB	sgAB	sense	R2	1
yjl218	218	WT	none	2DSB	sgAB	sense	R1	1
yjl218	218	WT	none	2DSB	sgAB	sense	R2	1
yjl219	219	WT	none	2DSB	sgAB	sense	R1	1
yjl219	219	WT	none	2DSB	sgAB	sense	R2	1
yjl220	220	WT	none	2DSB	sgAB	sense	R1	1
yjl220	220	WT	none	2DSB	sgAB	sense	R2	1
yjl221	221	WT	none	2DSB	sgAB	branch	R1	1
yjl221	221	WT	none	2DSB	sgAB	branch	R2	1
yjl222	222	WT	none	2DSB	sgAB	branch	R1	1
yjl222	222	WT	none	2DSB	sgAB	branch	R2	1
yjl223	223	WT	none	2DSB	sgAB	branch	R1	1
yjl223	223	WT	none	2DSB	sgAB	branch	R2	1
yjl224	224	WT	none	2DSB	sgAB	branch	R1	1
yjl224	224	WT	none	2DSB	sgAB	branch	R2	1
yjl225	225	WT	none	2DSB	sgAB	cmv	R1	1
yjl225	225	WT	none	2DSB	sgAB	cmv	R2	1
yjl226	226	WT	none	2DSB	sgAB	cmv	R1	1
yjl226	226	WT	none	2DSB	sgAB	cmv	R2	1
yjl227	227	WT	none	2DSB	sgAB	cmv	R1	1
yjl227	227	WT	none	2DSB	sgAB	cmv	R2	1
yjl228	228	WT	none	2DSB	sgAB	cmv	R1	1
yjl228	228	WT	none	2DSB	sgAB	cmv	R2	1
yjl229	229	KO	none	2DSB	sgAB	sense	R1	1
yjl229	229	KO	none	2DSB	sgAB	sense	R2	1
yjl230	230	KO	none	2DSB	sgAB	sense	R1	1
yjl230	230	KO	none	2DSB	sgAB	sense	R2	1
yjl231	231	KO	none	2DSB	sgAB	sense	R1	1
yjl231	231	KO	none	2DSB	sgAB	sense	R2	1
yjl232	232	KO	none	2DSB	sgAB	sense	R1	1
yjl232	232	KO	none	2DSB	sgAB	sense	R2	1
yjl233	233	KO	none	2DSB	sgAB	branch	R1	1
yjl233	233	KO	none	2DSB	sgAB	branch	R2	1
yjl234	234	KO	none	2DSB	sgAB	branch	R1	1
yjl234	234	KO	none	2DSB	sgAB	branch	R2	1
yjl235	235	KO	none	2DSB	sgAB	branch	R1	1
yjl235	235	KO	none	2DSB	sgAB	branch	R2	1
yjl236	236	KO	none	2DSB	sgAB	branch	R1	1
yjl236	236	KO	none	2DSB	sgAB	branch	R2	1
yjl237	237	KO	none	2DSB	sgAB	cmv	R1	1
yjl237	237	KO	none	2DSB	sgAB	cmv	R2	1
yjl238	238	KO	none	2DSB	sgAB	cmv	R1	1
yjl238	238	KO	none	2DSB	sgAB	cmv	R2	1
yjl239	239	KO	none	2DSB	sgAB	cmv	R1	1
yjl239	239	KO	none	2DSB	sgAB	cmv	R2	1
yjl240	240	KO	none	2DSB	sgAB	cmv	R1	1
yjl240	240	KO	none	2DSB	sgAB	cmv	R2	1
yjl244	244	WT	noDSB	1DSB	sgA	sense	R1	1
yjl244	244	WT	noDSB	1DSB	sgB	sense	R2	1
yjl245	245	WT	noDSB	1DSB	sgA	branch	R1	1
yjl245	245	WT	noDSB	1DSB	sgB	branch	R2	1
yjl246	246	WT	noDSB	1DSB	sgA	cmv	R1	1
yjl246	246	WT	noDSB	1DSB	sgB	cmv	R2	1
yjl255	255	WT	none	1DSB	sgA	sense	R1	1
yjl255	255	WT	30bpDown	1DSB	sgA	sense	R1	1
yjl256	256	WT	none	1DSB	sgA	sense	R1	1
yjl256	256	WT	30bpDown	1DSB	sgA	sense	R1	1
yjl257	257	WT	none	1DSB	sgA	sense	R1	1
yjl257	257	WT	30bpDown	1DSB	sgA	sense	R1	1
yjl258	258	WT	none	1DSB	sgA	sense	R1	1
yjl258	258	WT	30bpDown	1DSB	sgA	sense	R1	1
yjl259	259	WT	none	1DSB	sgA	branch	R1	1
yjl259	259	WT	30bpDown	1DSB	sgA	branch	R1	1
yjl260	260	WT	none	1DSB	sgA	branch	R1	1
yjl260	260	WT	30bpDown	1DSB	sgA	branch	R1	1
yjl261	261	WT	none	1DSB	sgA	branch	R1	1
yjl261	261	WT	30bpDown	1DSB	sgA	branch	R1	1
yjl262	262	WT	none	1DSB	sgA	branch	R1	1
yjl262	262	WT	30bpDown	1DSB	sgA	branch	R1	1
yjl263	263	WT	none	1DSB	sgA	cmv	R1	1
yjl263	263	WT	30bpDown	1DSB	sgA	cmv	R1	1
yjl264	264	WT	none	1DSB	sgA	cmv	R1	1
yjl264	264	WT	30bpDown	1DSB	sgA	cmv	R1	1
yjl265	265	WT	none	1DSB	sgA	cmv	R1	1
yjl265	265	WT	30bpDown	1DSB	sgA	cmv	R1	1
yjl266	266	WT	none	1DSB	sgA	cmv	R1	1
yjl266	266	WT	30bpDown	1DSB	sgA	cmv	R1	1
yjl267	267	WT	none	1DSB	sgB	sense	R2	1
yjl267	267	WT	30bpDown	1DSB	sgB	sense	R2	1
yjl268	268	WT	none	1DSB	sgB	sense	R2	1
yjl268	268	WT	30bpDown	1DSB	sgB	sense	R2	1
yjl269	269	WT	none	1DSB	sgB	sense	R2	1
yjl269	269	WT	30bpDown	1DSB	sgB	sense	R2	1
yjl270	270	WT	none	1DSB	sgB	sense	R2	1
yjl270	270	WT	30bpDown	1DSB	sgB	sense	R2	1
yjl271	271	WT	none	1DSB	sgB	branch	R2	1
yjl271	271	WT	30bpDown	1DSB	sgB	branch	R2	1
yjl272	272	WT	none	1DSB	sgB	branch	R2	1
yjl272	272	WT	30bpDown	1DSB	sgB	branch	R2	1
yjl273	273	WT	none	1DSB	sgB	branch	R2	1
yjl273	273	WT	30bpDown	1DSB	sgB	branch	R2	1
yjl274	274	WT	none	1DSB	sgB	branch	R2	1
yjl274	274	WT	30bpDown	1DSB	sgB	branch	R2	1
yjl275	275	WT	none	1DSB	sgB	cmv	R2	1
yjl275	275	WT	30bpDown	1DSB	sgB	cmv	R2	1
yjl276	276	WT	none	1DSB	sgB	cmv	R2	1
yjl276	276	WT	30bpDown	1DSB	sgB	cmv	R2	1
yjl277	277	WT	none	1DSB	sgB	cmv	R2	1
yjl277	277	WT	30bpDown	1DSB	sgB	cmv	R2	1
yjl278	278	WT	none	1DSB	sgB	cmv	R2	1
yjl278	278	WT	30bpDown	1DSB	sgB	cmv	R2	1
yjl281	281	KO	noDSB	1DSB	sgA	sense	R1	1
yjl281	281	KO	noDSB	1DSB	sgB	sense	R2	1
yjl282	282	KO	noDSB	1DSB	sgA	branch	R1	1
yjl282	282	KO	noDSB	1DSB	sgB	branch	R2	1
yjl283	283	KO	noDSB	1DSB	sgA	cmv	R1	1
yjl283	283	KO	noDSB	1DSB	sgB	cmv	R2	1
yjl292	292	KO	none	1DSB	sgA	sense	R1	1
yjl292	292	KO	30bpDown	1DSB	sgA	sense	R1	1
yjl293	293	KO	none	1DSB	sgA	sense	R1	1
yjl293	293	KO	30bpDown	1DSB	sgA	sense	R1	1
yjl294	294	KO	none	1DSB	sgA	sense	R1	1
yjl294	294	KO	30bpDown	1DSB	sgA	sense	R1	1
yjl295	295	KO	none	1DSB	sgA	sense	R1	1
yjl295	295	KO	30bpDown	1DSB	sgA	sense	R1	1
yjl296	296	KO	none	1DSB	sgA	branch	R1	1
yjl296	296	KO	30bpDown	1DSB	sgA	branch	R1	1
yjl297	297	KO	none	1DSB	sgA	branch	R1	1
yjl297	297	KO	30bpDown	1DSB	sgA	branch	R1	1
yjl298	298	KO	none	1DSB	sgA	branch	R1	1
yjl298	298	KO	30bpDown	1DSB	sgA	branch	R1	1
yjl299	299	KO	none	1DSB	sgA	branch	R1	1
yjl299	299	KO	30bpDown	1DSB	sgA	branch	R1	1
yjl300	300	KO	none	1DSB	sgA	cmv	R1	1
yjl300	300	KO	30bpDown	1DSB	sgA	cmv	R1	1
yjl301	301	KO	none	1DSB	sgA	cmv	R1	1
yjl301	301	KO	30bpDown	1DSB	sgA	cmv	R1	1
yjl302	302	KO	none	1DSB	sgA	cmv	R1	1
yjl302	302	KO	30bpDown	1DSB	sgA	cmv	R1	1
yjl303	303	KO	none	1DSB	sgA	cmv	R1	1
yjl303	303	KO	30bpDown	1DSB	sgA	cmv	R1	1
yjl304	304	KO	none	1DSB	sgB	sense	R2	1
yjl304	304	KO	30bpDown	1DSB	sgB	sense	R2	1
yjl305	305	KO	none	1DSB	sgB	sense	R2	1
yjl305	305	KO	30bpDown	1DSB	sgB	sense	R2	1
yjl306	306	KO	none	1DSB	sgB	sense	R2	1
yjl306	306	KO	30bpDown	1DSB	sgB	sense	R2	1
yjl307	307	KO	none	1DSB	sgB	sense	R2	1
yjl307	307	KO	30bpDown	1DSB	sgB	sense	R2	1
yjl308	308	KO	none	1DSB	sgB	branch	R2	1
yjl308	308	KO	30bpDown	1DSB	sgB	branch	R2	1
yjl309	309	KO	none	1DSB	sgB	branch	R2	1
yjl309	309	KO	30bpDown	1DSB	sgB	branch	R2	1
yjl310	310	KO	none	1DSB	sgB	branch	R2	1
yjl310	310	KO	30bpDown	1DSB	sgB	branch	R2	1
yjl311	311	KO	none	1DSB	sgB	branch	R2	1
yjl311	311	KO	30bpDown	1DSB	sgB	branch	R2	1
yjl312	312	KO	none	1DSB	sgB	cmv	R2	1
yjl312	312	KO	30bpDown	1DSB	sgB	cmv	R2	1
yjl313	313	KO	none	1DSB	sgB	cmv	R2	1
yjl313	313	KO	30bpDown	1DSB	sgB	cmv	R2	1
yjl314	314	KO	none	1DSB	sgB	cmv	R2	1
yjl314	314	KO	30bpDown	1DSB	sgB	cmv	R2	1
yjl315	315	KO	none	1DSB	sgB	cmv	R2	1
yjl315	315	KO	30bpDown	1DSB	sgB	cmv	R2	1
yjl349	349	WT	none	2DSBanti	sgCD	antisense	R1	2
yjl349	349	WT	none	2DSBanti	sgCD	antisense	R2	2
yjl350	350	WT	none	2DSBanti	sgCD	antisense	R1	2
yjl350	350	WT	none	2DSBanti	sgCD	antisense	R2	2
yjl351	351	WT	none	2DSBanti	sgCD	antisense	R1	2
yjl351	351	WT	none	2DSBanti	sgCD	antisense	R2	2
yjl352	352	WT	none	2DSBanti	sgCD	antisense	R1	2
yjl352	352	WT	none	2DSBanti	sgCD	antisense	R2	2
yjl353	353	WT	none	2DSBanti	sgCD	splicing	R1	2
yjl353	353	WT	none	2DSBanti	sgCD	splicing	R2	2
yjl354	354	WT	none	2DSBanti	sgCD	splicing	R1	2
yjl354	354	WT	none	2DSBanti	sgCD	splicing	R2	2
yjl355	355	WT	none	2DSBanti	sgCD	splicing	R1	2
yjl355	355	WT	none	2DSBanti	sgCD	splicing	R2	2
yjl356	356	WT	none	2DSBanti	sgCD	splicing	R1	2
yjl356	356	WT	none	2DSBanti	sgCD	splicing	R2	2
